iter	RMSE
0	7.217914245e-05
1	7.082349447e-05
2	6.949568442e-05
3	6.831954048e-05
4	6.716044509e-05
5	6.606382124e-05
6	6.504311173e-05
7	6.405857367e-05
8	6.311097822e-05
9	6.222857941e-05
10	6.13955505e-05
11	6.057917712e-05
12	5.981946846e-05
13	5.90979022e-05
14	5.843456154e-05
15	5.780909481e-05
16	5.722042203e-05
17	5.668508131e-05
18	5.61397688e-05
19	5.560753253e-05
20	5.514488338e-05
21	5.465603927e-05
22	5.42002983e-05
23	5.382010633e-05
24	5.34299299e-05
25	5.305993708e-05
26	5.269614174e-05
27	5.235083775e-05
28	5.205974036e-05
29	5.174788026e-05
30	5.146619131e-05
31	5.119902189e-05
32	5.096354235e-05
33	5.074370333e-05
34	5.051641701e-05
35	5.027958674e-05
36	5.008533446e-05
37	4.990075883e-05
38	4.971258258e-05
39	4.950804692e-05
40	4.932728355e-05
41	4.915769567e-05
42	4.903254829e-05
43	4.887582808e-05
44	4.8729617e-05
45	4.858902614e-05
46	4.847151203e-05
47	4.834999074e-05
48	4.821101866e-05
49	4.809395743e-05
50	4.798808266e-05
51	4.789580753e-05
52	4.780022086e-05
53	4.770119336e-05
54	4.762040234e-05
55	4.753838759e-05
56	4.743983031e-05
57	4.736757158e-05
58	4.728507536e-05
59	4.718528863e-05
60	4.710906623e-05
61	4.701814446e-05
62	4.695401378e-05
63	4.688858744e-05
64	4.681336596e-05
65	4.675121218e-05
66	4.668220244e-05
67	4.662615788e-05
68	4.656975996e-05
69	4.649344714e-05
70	4.644807898e-05
71	4.640252689e-05
72	4.633830373e-05
73	4.628800493e-05
74	4.623645504e-05
75	4.618441825e-05
76	4.613639663e-05
77	4.609934473e-05
78	4.606141361e-05
79	4.602131829e-05
80	4.598055667e-05
81	4.591983825e-05
82	4.588433788e-05
83	4.585792823e-05
84	4.580035263e-05
85	4.575703619e-05
86	4.572020185e-05
87	4.567490037e-05
88	4.564708473e-05
89	4.561204998e-05
90	4.557703792e-05
91	4.554494264e-05
92	4.547996232e-05
93	4.544765312e-05
94	4.541495401e-05
95	4.538981848e-05
96	4.535880964e-05
97	4.532917292e-05
98	4.530473661e-05
99	4.527073727e-05
100	4.522361269e-05
101	4.518956333e-05
102	4.516319376e-05
103	4.514088394e-05
104	4.508649414e-05
105	4.506177456e-05
106	4.502012159e-05
107	4.499851767e-05
108	4.497144972e-05
109	4.493474443e-05
110	4.490625336e-05
111	4.48873113e-05
112	4.486757012e-05
113	4.484503631e-05
114	4.481361842e-05
115	4.478483457e-05
116	4.474434097e-05
117	4.471628198e-05
118	4.469552134e-05
119	4.467490777e-05
120	4.466249518e-05
121	4.463981662e-05
122	4.461997847e-05
123	4.458170876e-05
124	4.455022582e-05
125	4.452808541e-05
126	4.450619779e-05
127	4.448738923e-05
128	4.445564556e-05
129	4.443338384e-05
130	4.44253428e-05
131	4.441076757e-05
132	4.439901508e-05
133	4.437452702e-05
134	4.435832889e-05
135	4.433146434e-05
136	4.428758251e-05
137	4.426897213e-05
138	4.424472103e-05
139	4.42312876e-05
140	4.4223402e-05
141	4.420991003e-05
142	4.417846635e-05
143	4.417162749e-05
144	4.416189148e-05
145	4.415603294e-05
146	4.413926461e-05
147	4.413123464e-05
148	4.412025302e-05
149	4.410327839e-05
150	4.408249386e-05
151	4.40599922e-05
152	4.404815651e-05
153	4.402732773e-05
154	4.400418784e-05
155	4.398021024e-05
156	4.39696251e-05
157	4.395474667e-05
158	4.394749761e-05
159	4.393044229e-05
160	4.389542574e-05
161	4.387907541e-05
162	4.387380475e-05
163	4.385765649e-05
164	4.383723022e-05
165	4.382370882e-05
166	4.379302802e-05
167	4.378282223e-05
168	4.376518188e-05
169	4.374986078e-05
170	4.374367589e-05
171	4.373609451e-05
172	4.371955573e-05
173	4.370199576e-05
174	4.368064292e-05
175	4.366985223e-05
176	4.365855412e-05
177	4.365231378e-05
178	4.364509483e-05
179	4.363248024e-05
180	4.36258952e-05
181	4.360144733e-05
182	4.359246405e-05
183	4.357849398e-05
184	4.356424717e-05
185	4.355139058e-05
186	4.354767092e-05
187	4.354107632e-05
188	4.351981853e-05
189	4.349876038e-05
190	4.347952313e-05
191	4.345407403e-05
192	4.34373112e-05
193	4.34177389e-05
194	4.341275358e-05
195	4.340010705e-05
196	4.33859948e-05
197	4.337122678e-05
198	4.336131602e-05
199	4.333649129e-05
200	4.332791542e-05
201	4.3325435e-05
202	4.332217686e-05
203	4.331544221e-05
204	4.33010759e-05
205	4.327424389e-05
206	4.325692002e-05
207	4.325085405e-05
208	4.324053245e-05
209	4.322956698e-05
210	4.322323008e-05
211	4.319758328e-05
212	4.318950603e-05
213	4.317093749e-05
214	4.315724555e-05
215	4.314931358e-05
216	4.312584176e-05
217	4.310556262e-05
218	4.308603857e-05
219	4.306551661e-05
220	4.304227034e-05
221	4.30222312e-05
222	4.300413498e-05
223	4.298450507e-05
224	4.296339268e-05
225	4.296006249e-05
226	4.293833445e-05
227	4.293009354e-05
228	4.291080377e-05
229	4.290306117e-05
230	4.289662956e-05
231	4.288878886e-05
232	4.287165383e-05
233	4.285843108e-05
234	4.285253829e-05
235	4.284013869e-05
236	4.282360072e-05
237	4.280903309e-05
238	4.279439881e-05
239	4.278307562e-05
240	4.277306988e-05
241	4.276812978e-05
242	4.274705062e-05
243	4.2741124e-05
244	4.272488054e-05
245	4.271386897e-05
246	4.269361423e-05
247	4.268820082e-05
248	4.266733853e-05
249	4.266244623e-05
250	4.263994703e-05
251	4.2636709e-05
252	4.26335253e-05
253	4.263036874e-05
254	4.262531707e-05
255	4.262081917e-05
256	4.261465012e-05
257	4.261184153e-05
258	4.259740312e-05
259	4.258810288e-05
260	4.257938506e-05
