iter	Passed	Remaining
0	3	4659
1	7	4452
2	11	4438
3	14	4461
4	18	4483
5	22	4498
6	26	4500
7	30	4472
8	33	4438
9	37	4445
10	40	4418
11	44	4405
12	48	4419
13	53	4501
14	57	4528
15	60	4510
16	65	4529
17	69	4554
18	73	4549
19	77	4577
20	81	4570
21	85	4580
22	89	4560
23	93	4571
24	97	4580
25	101	4587
26	105	4588
27	110	4616
28	114	4611
29	118	4609
30	122	4611
31	126	4625
32	131	4647
33	135	4631
34	139	4658
35	143	4651
36	147	4651
37	151	4645
38	156	4660
39	160	4665
40	164	4663
41	169	4673
42	173	4663
43	177	4662
44	181	4665
45	185	4655
46	189	4638
47	192	4628
48	196	4616
49	200	4612
50	204	4609
51	208	4603
52	212	4593
53	216	4594
54	220	4592
55	224	4585
56	228	4583
57	232	4579
58	236	4565
59	239	4550
60	243	4542
61	247	4549
62	251	4539
63	255	4533
64	259	4522
65	262	4518
66	266	4508
67	270	4506
68	274	4493
69	278	4500
70	282	4495
71	286	4488
72	290	4482
73	294	4479
74	298	4475
75	302	4468
76	305	4458
77	309	4457
78	313	4452
79	318	4452
80	321	4448
81	326	4453
82	330	4446
83	334	4442
84	337	4432
85	341	4428
86	345	4421
87	349	4415
88	353	4412
89	358	4416
90	362	4414
91	366	4410
92	370	4405
93	373	4395
94	378	4397
95	382	4394
96	386	4390
97	390	4391
98	394	4388
99	398	4383
100	402	4375
101	406	4374
102	410	4376
103	415	4373
104	419	4370
105	422	4364
106	426	4359
107	431	4359
108	435	4360
109	439	4356
110	444	4356
111	447	4347
112	452	4350
113	456	4349
114	461	4355
115	466	4356
116	470	4355
117	474	4351
118	478	4350
119	482	4346
120	486	4341
121	491	4338
122	495	4335
123	499	4336
124	504	4334
125	508	4332
126	512	4329
127	517	4337
128	522	4334
129	525	4327
130	529	4322
131	534	4320
132	538	4323
133	543	4320
134	548	4323
135	551	4317
136	555	4313
137	559	4306
138	563	4304
139	567	4296
140	571	4291
141	574	4282
142	578	4276
143	582	4271
144	585	4263
145	589	4254
146	593	4250
147	598	4251
148	601	4242
149	605	4235
150	608	4227
151	612	4226
152	616	4221
153	620	4217
154	625	4217
155	629	4212
156	633	4207
157	637	4203
158	640	4196
159	645	4192
160	649	4188
161	652	4181
162	657	4183
163	661	4181
164	665	4176
165	669	4169
166	673	4163
167	677	4160
168	680	4153
169	684	4145
170	688	4142
171	692	4140
172	696	4134
173	700	4128
174	704	4123
175	708	4121
176	712	4117
177	715	4110
178	719	4104
179	724	4103
180	727	4095
181	731	4089
182	734	4083
183	739	4080
184	743	4076
185	747	4073
186	751	4069
187	755	4068
188	760	4068
189	764	4062
190	767	4056
191	772	4055
192	777	4056
193	781	4051
194	785	4046
195	789	4044
196	793	4041
197	798	4039
198	803	4041
199	807	4038
200	811	4032
201	816	4033
202	820	4031
203	824	4025
204	828	4018
205	831	4012
206	836	4011
207	839	4005
208	843	3998
209	846	3990
210	850	3985
211	853	3977
212	857	3971
213	861	3967
214	865	3963
215	869	3960
216	872	3953
217	876	3949
218	880	3945
219	884	3939
220	888	3936
221	891	3928
222	895	3921
223	899	3917
224	902	3910
225	905	3903
226	908	3895
227	912	3891
228	916	3885
229	919	3878
230	922	3871
231	926	3863
232	929	3859
233	933	3851
234	936	3844
235	939	3836
236	942	3831
237	946	3826
238	950	3821
239	953	3814
240	956	3806
241	960	3800
242	963	3793
243	966	3786
244	969	3779
245	973	3773
246	976	3768
247	980	3763
248	983	3756
249	986	3749
250	990	3743
251	993	3738
252	997	3732
253	1000	3726
254	1004	3721
255	1008	3717
256	1011	3711
257	1014	3704
258	1018	3699
259	1021	3693
260	1025	3688
261	1028	3683
262	1032	3676
263	1035	3670
264	1038	3665
265	1042	3661
266	1045	3655
267	1049	3651
268	1053	3645
269	1057	3642
270	1060	3636
271	1064	3630
272	1067	3624
273	1070	3617
274	1073	3612
275	1077	3606
276	1080	3600
277	1083	3593
278	1087	3588
279	1090	3583
280	1094	3578
281	1097	3572
282	1100	3565
283	1104	3561
284	1108	3557
285	1111	3552
286	1114	3545
287	1117	3540
288	1122	3536
289	1125	3530
290	1128	3524
291	1131	3519
292	1135	3515
293	1139	3510
294	1142	3504
295	1145	3498
296	1148	3493
297	1152	3488
298	1155	3483
299	1159	3477
300	1162	3472
301	1166	3467
302	1170	3464
303	1173	3458
304	1176	3452
305	1180	3447
306	1184	3444
307	1187	3438
308	1190	3432
309	1193	3426
310	1197	3421
311	1201	3420
312	1205	3417
313	1209	3412
314	1213	3407
315	1217	3404
316	1220	3399
317	1223	3394
318	1227	3389
319	1230	3384
320	1234	3380
321	1238	3377
322	1241	3372
323	1245	3367
324	1249	3362
325	1252	3357
326	1256	3353
327	1259	3348
328	1264	3346
329	1267	3342
330	1271	3337
331	1274	3332
332	1278	3329
333	1282	3325
334	1286	3320
335	1289	3315
336	1292	3310
337	1296	3305
338	1299	3300
339	1303	3298
340	1307	3294
341	1311	3290
342	1314	3285
343	1318	3280
344	1321	3275
345	1326	3274
346	1330	3270
347	1333	3265
348	1337	3260
349	1340	3255
350	1344	3251
351	1348	3248
352	1352	3245
353	1356	3241
354	1360	3238
355	1364	3233
356	1367	3228
357	1370	3223
358	1374	3219
359	1377	3214
360	1381	3210
361	1384	3204
362	1387	3200
363	1392	3197
364	1395	3193
365	1399	3187
366	1402	3183
367	1406	3178
368	1409	3174
369	1413	3169
370	1416	3165
371	1420	3162
372	1424	3157
373	1427	3153
374	1431	3148
375	1435	3144
376	1439	3142
377	1443	3138
378	1446	3133
379	1449	3128
380	1454	3125
381	1457	3120
382	1460	3115
383	1463	3110
384	1467	3106
385	1470	3101
386	1474	3096
387	1477	3092
388	1480	3087
389	1484	3083
390	1487	3078
391	1491	3073
392	1494	3069
393	1497	3064
394	1501	3060
395	1505	3055
396	1508	3050
397	1511	3045
398	1514	3040
399	1518	3037
400	1522	3032
401	1525	3027
402	1528	3023
403	1532	3020
404	1536	3015
405	1539	3010
406	1543	3006
407	1546	3002
408	1550	2998
409	1553	2993
410	1557	2989
411	1560	2984
412	1564	2981
413	1568	2977
414	1572	2973
415	1575	2968
416	1578	2964
417	1582	2960
418	1586	2957
419	1590	2953
420	1595	2951
421	1599	2948
422	1603	2945
423	1607	2941
424	1610	2936
425	1614	2932
426	1618	2930
427	1622	2926
428	1626	2922
429	1630	2919
430	1633	2915
431	1637	2911
432	1641	2907
433	1645	2904
434	1649	2901
435	1653	2897
436	1657	2893
437	1661	2890
438	1665	2886
439	1668	2881
440	1672	2877
441	1675	2873
442	1679	2869
443	1683	2866
444	1687	2862
445	1691	2859
446	1694	2854
447	1697	2849
448	1701	2846
449	1705	2842
450	1710	2840
451	1713	2835
452	1716	2831
453	1720	2826
454	1724	2824
455	1727	2819
456	1731	2815
457	1734	2810
458	1739	2808
459	1743	2804
460	1746	2799
461	1749	2794
462	1753	2790
463	1757	2787
464	1760	2782
465	1763	2777
466	1766	2773
467	1770	2769
468	1774	2765
469	1777	2760
470	1780	2756
471	1784	2752
472	1788	2749
473	1791	2744
474	1794	2739
475	1798	2735
476	1802	2731
477	1805	2727
478	1808	2722
479	1811	2717
480	1815	2713
481	1819	2709
482	1822	2705
483	1826	2701
484	1829	2697
485	1832	2692
486	1836	2688
487	1839	2683
488	1842	2679
489	1846	2674
490	1849	2671
491	1853	2666
492	1856	2662
493	1859	2657
494	1862	2653
495	1866	2649
496	1869	2645
497	1873	2640
498	1876	2636
499	1879	2631
500	1883	2628
501	1886	2623
502	1890	2619
503	1893	2614
504	1896	2610
505	1900	2606
506	1903	2602
507	1906	2597
508	1910	2593
509	1913	2589
510	1917	2585
511	1920	2581
512	1924	2576
513	1927	2572
514	1932	2569
515	1935	2566
516	1939	2562
517	1942	2557
518	1946	2554
519	1950	2550
520	1954	2546
521	1957	2542
522	1962	2540
523	1966	2536
524	1970	2533
525	1974	2529
526	1978	2527
527	1983	2524
528	1988	2521
529	1994	2521
530	1998	2518
531	2002	2514
532	2005	2510
533	2010	2507
534	2015	2504
535	2018	2500
536	2022	2496
537	2026	2493
538	2031	2491
539	2035	2487
540	2039	2483
541	2043	2480
542	2046	2476
543	2050	2473
544	2055	2469
545	2059	2466
546	2062	2462
547	2066	2458
548	2070	2454
549	2074	2451
550	2078	2447
551	2081	2443
552	2085	2439
553	2090	2437
554	2093	2433
555	2097	2429
556	2100	2425
557	2105	2422
558	2109	2418
559	2112	2414
560	2115	2409
561	2119	2406
562	2123	2402
563	2127	2398
564	2130	2394
565	2134	2390
566	2138	2387
567	2142	2383
568	2145	2379
569	2149	2375
570	2152	2371
571	2155	2366
572	2159	2362
573	2162	2358
574	2165	2354
575	2169	2350
576	2172	2346
577	2176	2342
578	2179	2337
579	2183	2334
580	2186	2329
